id,link,thumbnail,title,description
cassette1p1,https://voe.sx/e/od6h7p7psthd,https://i.voe.sx/cache/od6h7p7psthd_storyboard_L1.jpg,Cassette 1 parte 1,Cordoba - Casa vieja - Villa Gesell
cassette1p2,https://voe.sx/e/qmohdzzigddr,https://i.voe.sx/cache/qmohdzzigddr_storyboard_L1.jpg,Cassette 1 parte 2,Cordoba - Casa vieja - Villa Gesell
